,desigcomercial,numbicicletas,numdocasvacias,position,add_data,add_hora,_lat_,_lng_,_type_,_name_
45,420 - Av. Rovisco Pais / Av. Manuel da Maia,8,18,"{""coordinates"": [-9.13672, 38.73617], ""type"": ""Point""}",2021-07-04,11:11:52.,38.73617,-9.13672,GIRABIKE,420 - Av. Rovisco Pais / Av. Manuel da Maia
46,207 - Av. Brasília / Santos {Rio},0,10,"{""coordinates"": [-9.151101, 38.705443], ""type"": ""Point""}",2020-04-15,14:19:12.,38.705443,-9.151101,GIRABIKE,207 - Av. Brasília / Santos {Rio}
47,222 - Praça da Figueira,5,25,"{""coordinates"": [-9.13828, 38.71383], ""type"": ""Point""}",2020-09-24,10:32:47.,38.71383,-9.13828,GIRABIKE,222 - Praça da Figueira
48,215 - Av. 24 de Julho,3,14,"{""coordinates"": [-9.14949, 38.70662], ""type"": ""Point""}",2020-09-24,10:32:43.,38.70662,-9.14949,GIRABIKE,215 - Av. 24 de Julho
49,103-Jardim da Ã�gua,2,18,"{""coordinates"": [-9.095019, 38.761218], ""type"": ""Point""}",2020-09-23,16:12:26.,38.761218,-9.095019,GIRABIKE,103-Jardim da Ã�gua
50,206 - Av. Brasília / Doca de Alcântara,3,19,"{""coordinates"": [-9.17502, 38.70141], ""type"": ""Point""}",2021-06-28,08:21:28.,38.70141,-9.17502,GIRABIKE,206 - Av. Brasília / Doca de Alcântara
51,305 - Avenida da Liberdade / Rua Barata Salgueiro,6,10,"{""coordinates"": [-9.147, 38.72228], ""type"": ""Point""}",2021-07-04,11:11:49.,38.72228,-9.147,GIRABIKE,305 - Avenida da Liberdade / Rua Barata Salgueiro
52,442 - Campo Pequeno,5,11,"{""coordinates"": [-9.14523, 38.743371], ""type"": ""Point""}",2021-07-04,11:11:49.,38.743371,-9.14523,GIRABIKE,442 - Campo Pequeno
53,452 - Rua Teixeira de Pascoais / Rua Dr. Gama Barros,8,2,"{""coordinates"": [-9.136681, 38.747751], ""type"": ""Point""}",2021-07-04,11:11:49.,38.747751,-9.136681,GIRABIKE,452 - Rua Teixeira de Pascoais / Rua Dr. Gama Barros
54,483 - Rua Professor Francisco Lucas Pires ,7,9,"{""coordinates"": [-9.16405, 38.75939], ""type"": ""Point""}",2021-07-04,11:11:50.,38.75939,-9.16405,GIRABIKE,483 - Rua Professor Francisco Lucas Pires 
55,215 - Av. 24 de Julho,3,14,"{""coordinates"": [-9.14949, 38.70662], ""type"": ""Point""}",2021-07-04,11:11:50.,38.70662,-9.14949,GIRABIKE,215 - Av. 24 de Julho
56,446 - Av. República / Interface Entrecampos ,15,26,"{""coordinates"": [-9.14773, 38.74456], ""type"": ""Point""}",2021-07-04,11:11:50.,38.74456,-9.14773,GIRABIKE,446 - Av. República / Interface Entrecampos 
57,415 - Av. Duque de Ávila / Av. Conde Valbom,4,16,"{""coordinates"": [-9.148443, 38.735188], ""type"": ""Point""}",2021-07-04,11:11:51.,38.735188,-9.148443,GIRABIKE,415 - Av. Duque de Ávila / Av. Conde Valbom
58,453 - Av. Roma / Av. EUA,0,14,"{""coordinates"": [-9.14207, 38.74873], ""type"": ""Point""}",2021-07-04,11:11:51.,38.74873,-9.14207,GIRABIKE,453 - Av. Roma / Av. EUA
59,410 - Rua da Mesquita / Universidade Nova de Lisboa,26,14,"{""coordinates"": [-9.16015, 38.73492], ""type"": ""Point""}",2021-07-04,11:11:52.,38.73492,-9.16015,GIRABIKE,410 - Rua da Mesquita / Universidade Nova de Lisboa
60,473 - Av. do Brasil / Av. de Roma,5,9,"{""coordinates"": [-9.14697, 38.75643], ""type"": ""Point""}",2021-07-04,11:11:53.,38.75643,-9.14697,GIRABIKE,473 - Av. do Brasil / Av. de Roma
61,101 - Alameda dos Oceanos / Rua dos Argonautas,7,9,"{""coordinates"": [-9.096804, 38.756161], ""type"": ""Point""}",2021-07-04,11:11:50.,38.756161,-9.096804,GIRABIKE,101 - Alameda dos Oceanos / Rua dos Argonautas
62,460 - Av. Rio de Janeiro / Parque de Jogos 1º de Maio,7,8,"{""coordinates"": [-9.13749, 38.75176], ""type"": ""Point""}",2021-07-04,11:11:51.,38.75176,-9.13749,GIRABIKE,460 - Av. Rio de Janeiro / Parque de Jogos 1º de Maio
63,309 - Rua da Palma,0,10,"{""coordinates"": [-9.13577, 38.71901], ""type"": ""Point""}",2021-07-04,11:11:51.,38.71901,-9.13577,GIRABIKE,309 - Rua da Palma
64,462 - Campo Grande / Biblioteca Nacional,13,16,"{""coordinates"": [-9.15031, 38.75027], ""type"": ""Point""}",2021-07-04,11:11:51.,38.75027,-9.15031,GIRABIKE,462 - Campo Grande / Biblioteca Nacional
65,459 - Rua Maria Amália Vaz de Carvalho / ES Rainha D. Leonor,8,12,"{""coordinates"": [-9.141741, 38.751481], ""type"": ""Point""}",2021-07-04,11:11:51.,38.751481,-9.141741,GIRABIKE,459 - Rua Maria Amália Vaz de Carvalho / ES Rainha D. Leonor
66,488 - Rua Fernando Namora / Rua António Quadros,7,13,"{""coordinates"": [-9.17526, 38.76014], ""type"": ""Point""}",2021-07-04,11:11:51.,38.76014,-9.17526,GIRABIKE,488 - Rua Fernando Namora / Rua António Quadros
67,484 - Rua Professor Vieira de Almeida,10,12,"{""coordinates"": [-9.16658, 38.76081], ""type"": ""Point""}",2021-07-04,11:11:51.,38.76081,-9.16658,GIRABIKE,484 - Rua Professor Vieira de Almeida
68,304 - Avenida da Liberdade / São Jorge,6,10,"{""coordinates"": [-9.14637, 38.72026], ""type"": ""Point""}",2021-07-04,11:11:52.,38.72026,-9.14637,GIRABIKE,304 - Avenida da Liberdade / São Jorge
69,419 - Av. António José de Almeida / Instituto Superior Técnico,7,18,"{""coordinates"": [-9.13956, 38.73811], ""type"": ""Point""}",2021-07-04,11:11:52.,38.73811,-9.13956,GIRABIKE,419 - Av. António José de Almeida / Instituto Superior Técnico
70,307 - Marquês de Pombal,9,24,"{""coordinates"": [-9.149334, 38.724954], ""type"": ""Point""}",2021-07-04,11:11:52.,38.724954,-9.149334,GIRABIKE,307 - Marquês de Pombal
71,421 - Alameda D. Afonso Henriques,4,16,"{""coordinates"": [-9.13416, 38.73736], ""type"": ""Point""}",2021-07-04,11:11:52.,38.73736,-9.13416,GIRABIKE,421 - Alameda D. Afonso Henriques
72,464 - Av. da Igreja / Rua Afonso Lopes Vieira,4,10,"{""coordinates"": [-9.148427, 38.75165], ""type"": ""Point""}",2021-07-04,11:11:52.,38.75165,-9.148427,GIRABIKE,464 - Av. da Igreja / Rua Afonso Lopes Vieira
73,487 - Rua Professor João Barreira,10,4,"{""coordinates"": [-9.17096, 38.76136], ""type"": ""Point""}",2021-07-04,11:11:52.,38.76136,-9.17096,GIRABIKE,487 - Rua Professor João Barreira
74,417 - Av. Duque de Ávila / Jardim Arco Do Cego,3,20,"{""coordinates"": [-9.142703, 38.735352], ""type"": ""Point""}",2021-07-04,11:11:53.,38.735352,-9.142703,GIRABIKE,417 - Av. Duque de Ávila / Jardim Arco Do Cego
