,X,Y,OBJECTID,COD_SIG_ESTACIONAMENTO,COD_SIG_PROPOSTA,FREGUESIA,MORADA,MORADA_DETALHE,LOCALIZACAO,FOTO,TIPO_ESTACIONAMENTO,NUM_SUPORTES,MODELO,CAPACIDADE,FONTE_LEVANTAMENTO,BALIZADORES,DOMINIALIDADE,DATA_INSTALACAO,SV_TIPO,SV_NUM_SERIE,ESTACIONAMENTO_ESTADO,EST_ESTADO_OBS,OBS,DEPM_VALIDACAO,CTRL_EDICOES,COBERTO,COD_SIG,IDTIPO,SE_ANNO_CAD_DATA,GlobalID,_lat_,_lng_,_type_,_name_
248,-9.18889720668582,38.74685951431,249,20,,SÃO DOMINGOS DE BENFICA,"Estrada de Benfica, 463",Atrás do edifício do Califa,Passeio,K:\1 Planeamento\0_REDES\Estacionamento MaaS DOCKLESS\Fotos\existentes\20.jpg,BICICLETA,3.0,Sheffield Standard,6.0,<Null>,0.0,Público,1970/01/01 00:00:00+00,,,,,,2018/11/21 00:00:00+00,2021/02/03 00:00:00+00,NÃO,25833,9207,,9e900d2f-9d61-4f52-b6b8-e6267d247d48,38.74685951431,-9.18889720668582,BICICLETA,"Estrada de Benfica, 463 - Atrás do edifício do Califa - Passeio"
249,-9.19034968099063,38.7484747585386,250,21,,BENFICA,R Paulo Renato 1,Porta do Fonte Nova,Passeio,K:\1 Planeamento\0_REDES\Estacionamento MaaS DOCKLESS\Fotos\existentes\21.jpg,BICICLETA,3.0,Sheffield Standard,6.0,,0.0,Público,1970/01/01 00:00:00+00,,,,,,2018/11/21 00:00:00+00,2020/01/08 00:00:00+00,NÃO,25834,9207,,915de963-ef0d-4863-95d1-d869797585ef,38.7484747585386,-9.19034968099063,BICICLETA,R Paulo Renato 1 - Porta do Fonte Nova - Passeio
250,-9.18987623020833,38.7479463774458,251,23,,BENFICA,R Paulo Renato,Estacionamento Fonte Nova por baixo viaduto 2 circular,Via,K:\1 Planeamento\0_REDES\Estacionamento MaaS DOCKLESS\Fotos\existentes\23.jpg,BICICLETA,5.0,Sheffield Standard,10.0,,,Público,1970/01/01 00:00:00+00,,,,,,2018/11/21 00:00:00+00,2020/01/08 00:00:00+00,NÃO,25835,9207,,c1a36b9e-cb2a-422f-a3d5-b98c26ab3ae1,38.7479463774458,-9.18987623020833,BICICLETA,R Paulo Renato - Estacionamento Fonte Nova por baixo viaduto 2 circular - Via
251,-9.18931299999992,38.7478299253377,252,24,,SÃO DOMINGOS DE BENFICA,R Prof Reinaldo dos Santos,Estacionamento Fonte Nova por baixo viaduto 2 circular,Via,K:\1 Planeamento\0_REDES\Estacionamento MaaS DOCKLESS\Fotos\existentes\24.jpg,BICICLETA,5.0,Sheffield Standard,10.0,,,Público,1970/01/01 00:00:00+00,,,,,,2018/11/21 00:00:00+00,2020/01/08 00:00:00+00,NÃO,25836,9207,,67f59f3d-77e2-40c0-9d82-1dd50584aed4,38.7478299253377,-9.18931299999992,BICICLETA,R Prof Reinaldo dos Santos - Estacionamento Fonte Nova por baixo viaduto 2 circular - Via
252,-9.18090233720108,38.7601727265712,253,25,,CARNIDE,R do Seminário,Entrada escola secundária Vergílio ferreira ( junto ciclovia),Passeio,K:\1 Planeamento\0_REDES\Estacionamento MaaS DOCKLESS\Fotos\existentes\25.jpg,BICICLETA,4.0,Sheffield estreito,8.0,<Null>,,Público,1970/01/01 00:00:00+00,,,,,,2018/11/21 00:00:00+00,2021/02/03 00:00:00+00,NÃO,25837,9207,,be69a8e2-2abf-4ad8-a6d3-ba0eb5556690,38.7601727265712,-9.18090233720108,BICICLETA,R do Seminário - Entrada escola secundária Vergílio ferreira ( junto ciclovia) - Passeio
253,-9.17391972980269,38.7057344446148,254,26,,ESTRELA,"R João de Oliveira Miguens, 50",Junto via pedonal,Passeio,K:\1 Planeamento\0_REDES\Estacionamento MaaS DOCKLESS\Fotos\existentes\26.jpg,BICICLETA,3.0,Sheffield Standard,6.0,<Null>,0.0,Público,1970/01/01 00:00:00+00,,,,,,2018/11/21 00:00:00+00,2021/02/03 00:00:00+00,NÃO,25838,9207,,48b081f1-acd1-49e9-9f36-ac3d76181454,38.7057344446148,-9.17391972980269,BICICLETA,"R João de Oliveira Miguens, 50 - Junto via pedonal - Passeio"
254,-9.1740683955923,38.7052898229143,255,27,,ESTRELA,"R João de Oliveira Miguens, 38",Junto via pedonal,Passeio,K:\1 Planeamento\0_REDES\Estacionamento MaaS DOCKLESS\Fotos\existentes\27.jpg,BICICLETA,3.0,Sheffield Standard,6.0,<Null>,0.0,Público,1970/01/01 00:00:00+00,,,,,,2018/11/21 00:00:00+00,2021/02/03 00:00:00+00,NÃO,25839,9207,,d6d607c0-75bb-4a73-b6e5-698d48bf11b5,38.7052898229143,-9.1740683955923,BICICLETA,"R João de Oliveira Miguens, 38 - Junto via pedonal - Passeio"
255,-9.1641164213953,38.7361373734042,256,28,1042.0,CAMPOLIDE,Jardim da Aministia ,,Passeio,K:\1 Planeamento\0_REDES\Estacionamento MaaS DOCKLESS\Fotos\existentes\28.jpg,BICICLETA,6.0,Sheffield Standard,12.0,DEPM,0.0,Público,2018/08/03 00:00:00+00,,,,,BICIWAY 13,2018/11/21 00:00:00+00,2020/01/09 00:00:00+00,NÃO,25840,9207,,e4fa1e8c-a8ce-4d3d-ac90-751c43624b06,38.7361373734042,-9.1641164213953,BICICLETA,Jardim da Aministia  - nan - Passeio
256,-9.1653447426805,38.726693873218,257,29,1044.0,CAMPOLIDE,Calçada dos Mestres,,Passeio,K:\1 Planeamento\0_REDES\Estacionamento MaaS DOCKLESS\Fotos\existentes\29.jpg,BICICLETA,4.0,Sheffield Standard,8.0,DEPM,0.0,Público,2018/06/17 00:00:00+00,,,,,BICIWAY 16,2020/01/14 00:00:00+00,2020/01/14 00:00:00+00,NÃO,25841,9207,,bfac37e5-9403-4f31-84f0-c019a41e4ca7,38.726693873218,-9.1653447426805,BICICLETA,Calçada dos Mestres - nan - Passeio
257,-9.17005631471754,38.7173572452826,258,30,1045.0,CAMPO DE OURIQUE,"R Freitas Gazul, Escola EB 2/3 Manuel da Maia 
",Lado direito da entrada,Passeio,K:\1 Planeamento\0_REDES\Estacionamento MaaS DOCKLESS\Fotos\existentes\30.jpg,BICICLETA,8.0,Sheffield Standard,16.0,DEPM,0.0,Privado,2018/11/16 00:00:00+00,,,,,BICIWAY 20,2020/01/14 00:00:00+00,2021/02/03 00:00:00+00,NÃO,25842,9207,,a765f54a-b653-4bbd-baa1-681a7eba9ab5,38.7173572452826,-9.17005631471754,BICICLETA,"R Freitas Gazul, Escola EB 2/3 Manuel da Maia 
 - Lado direito da entrada - Passeio"
258,-9.16569043685969,38.7183826111482,259,31,,CAMPO DE OURIQUE,"Rua Tomás de Anunciação, 71 ",Na esquina com Rua da Infantaria 16,<Null>,K:\1 Planeamento\0_REDES\Estacionamento MaaS DOCKLESS\Fotos\existentes\31.jpg,BICICLETA,2.0,Sheffield Standard,4.0,<Null>,,Público,1970/01/01 00:00:00+00,,,,,,2018/11/21 00:00:00+00,2021/01/14 00:00:00+00,NÃO,25843,9207,,7052c8ef-465f-434a-8148-d1e6ffc13617,38.7183826111482,-9.16569043685969,BICICLETA,"Rua Tomás de Anunciação, 71  - Na esquina com Rua da Infantaria 16 - <Null>"
259,-9.15636793014859,38.7190366479304,260,32,1046.0,CAMPO DE OURIQUE,"Av Alvares Cabral, 27",<Null>,Via,K:\1 Planeamento\0_REDES\Estacionamento MaaS DOCKLESS\Fotos\existentes\32.jpg,BICICLETA,2.0,Sheffield Standard,4.0,DEPM,0.0,Público,2018/08/03 00:00:00+00,,,,,BICIWAY 23,2018/11/21 00:00:00+00,2021/01/14 00:00:00+00,NÃO,25844,9207,,b9140fbc-4621-47b0-b465-d3487de0852b,38.7190366479304,-9.15636793014859,BICICLETA,"Av Alvares Cabral, 27 - <Null> - Via"
260,-9.15779147241301,38.7171079871402,261,33,1047.0,CAMPO DE OURIQUE,"Av Alvares Cabral, 102",Depois do Mupi,Passeio,K:\1 Planeamento\0_REDES\Estacionamento MaaS DOCKLESS\Fotos\existentes\33.jpg,BICICLETA,3.0,Sheffield Standard,6.0,DEPM,0.0,Público,2018/11/16 00:00:00+00,,,,,BICIWAY 18,2018/11/21 00:00:00+00,2021/02/03 00:00:00+00,NÃO,25845,9207,,3fd8567b-e8f1-4008-b102-90ea8455f7fa,38.7171079871402,-9.15779147241301,BICICLETA,"Av Alvares Cabral, 102 - Depois do Mupi - Passeio"
261,-9.16096957624264,38.7229077868797,262,34,1051.0,CAMPO DE OURIQUE,"R Carlos Alberto da Mota Pinto
",Amoreiras Plaza,Passeio,K:\1 Planeamento\0_REDES\Estacionamento MaaS DOCKLESS\Fotos\existentes\34.jpg,BICICLETA,6.0,Sheffield Standard,12.0,DEPM,0.0,Público,2018/11/28 00:00:00+00,,,,,BICIWAY 24,2020/01/14 00:00:00+00,2021/01/14 00:00:00+00,NÃO,25846,9207,,904afc6d-a244-4299-8915-6daa48267e73,38.7229077868797,-9.16096957624264,BICICLETA,"R Carlos Alberto da Mota Pinto
 - Amoreiras Plaza - Passeio"
262,-9.15092857001781,38.7334160587175,263,35,1024.0,AVENIDAS NOVAS,"R Latino Coelho, 50 
",No separador Central em frente ao Miosotis,Lugar estacionamento automóvel,K:\1 Planeamento\0_REDES\Estacionamento MaaS DOCKLESS\Fotos\existentes\35.jpg,BICICLETA,9.0,Sheffield Standard,18.0,DEPM,1.0,Público,2018/12/12 00:00:00+00,,,,,BICIWAY 38,2019/04/29 00:00:00+00,2021/02/03 00:00:00+00,NÃO,25847,9207,,6af0a5a9-75b6-49f0-a8d8-b078b400d22d,38.7334160587175,-9.15092857001781,BICICLETA,"R Latino Coelho, 50 
 - No separador Central em frente ao Miosotis - Lugar estacionamento automóvel"
263,-9.15043866479444,38.7331612513113,264,36,1025.0,AVENIDAS NOVAS,"R Latino Coelho, 75 ",Em frente ao Café,Lugar estacionamento automóvel,K:\1 Planeamento\0_REDES\Estacionamento MaaS DOCKLESS\Fotos\existentes\36.jpg,BICICLETA,4.0,Sheffield Standard,8.0,DEPM,3.0,Público,2018/12/21 00:00:00+00,,,,,BICIWAY 36,2019/04/29 00:00:00+00,2021/02/03 00:00:00+00,NÃO,25848,9207,,94349cb6-9c5b-4fc2-af36-6dea04900a04,38.7331612513113,-9.15043866479444,BICICLETA,"R Latino Coelho, 75  - Em frente ao Café - Lugar estacionamento automóvel"
264,-9.15293246527829,38.7465212996041,265,37,1084.0,AVENIDAS NOVAS,"R Mário Cesariny, 5B",<Null>,Passeio,K:\1 Planeamento\0_REDES\Estacionamento MaaS DOCKLESS\Fotos\existentes\37.jpg,BICICLETA,4.0,Sheffield Standard,8.0,DEPM,0.0,Público,2018/08/26 00:00:00+00,,,,,BICIWAY 40,2019/04/29 00:00:00+00,2021/02/03 00:00:00+00,NÃO,25849,9207,,acecd2bf-8b9d-4600-b02f-4f42d608bbd7,38.7465212996041,-9.15293246527829,BICICLETA,"R Mário Cesariny, 5B - <Null> - Passeio"
265,-9.15749934657083,38.7297715423433,266,38,1094.0,AVENIDAS NOVAS,"R Castilho, lado oposto ao 237
",Junto parque calisténico,Passeio,K:\1 Planeamento\0_REDES\Estacionamento MaaS DOCKLESS\Fotos\existentes\38.jpg,BICICLETA,3.0,Sheffield Standard,6.0,DEPM,0.0,Público,2018/11/20 00:00:00+00,,,,,BICIWAY 50,1970/01/01 00:00:00+00,2021/02/03 00:00:00+00,NÃO,25850,9207,,d746a244-9312-4685-ac92-2594845356a2,38.7297715423433,-9.15749934657083,BICICLETA,"R Castilho, lado oposto ao 237
 - Junto parque calisténico - Passeio"
266,-9.15663048524824,38.726671323225,267,39,1093.0,AVENIDAS NOVAS,"R Rodrigo da Fonseca, 115A
",<Null>,Passeio,K:\1 Planeamento\0_REDES\Estacionamento MaaS DOCKLESS\Fotos\existentes\39.jpg,BICICLETA,3.0,Sheffield Standard,6.0,DEPM,0.0,Público,2018/11/20 00:00:00+00,,,,,BICIWAY 49,1970/01/01 00:00:00+00,2021/02/03 00:00:00+00,NÃO,25851,9207,,cf8cef52-43f6-4e3d-92e8-06760be5d6f6,38.726671323225,-9.15663048524824,BICICLETA,"R Rodrigo da Fonseca, 115A
 - <Null> - Passeio"
267,-9.14951681724316,38.7317569390792,268,40,1028.0,AVENIDAS NOVAS,"R Tomás Ribeiro, 97",Próximo do Pingo Doce,Passeio,K:\1 Planeamento\0_REDES\Estacionamento MaaS DOCKLESS\Fotos\existentes\40.jpg,BICICLETA,4.0,Sheffield Standard,8.0,DEPM,0.0,Público,2019/01/08 00:00:00+00,,,,,BICIWAY 52,2019/04/29 00:00:00+00,2021/02/03 00:00:00+00,NÃO,25852,9207,,e813d46a-b1a7-4ceb-bbde-16c87d78b4f8,38.7317569390792,-9.14951681724316,BICICLETA,"R Tomás Ribeiro, 97 - Próximo do Pingo Doce - Passeio"
