X,Y,OBJECTID,FREGUESIA,MORADA,MORADA_DETALHE,LOCALIZACAO,TIPO_ESTACIONAMENTO,COD_SIG_PROPOSTA,NUM_SUPORTES,ESTADO,COD_SIG_HS,COD_SIG,IDTIPO,SE_ANNO_CAD_DATA,DATA_INSTALACAO,COBERTO,GlobalID
-9.14390871128118,38.7386086487261,163,AVENIDAS NOVAS,Av Visconde Valbom 11 (na lateral da Av. Def Chaves 36),"Último lugar de estacionamento longitudinal antes do lugar reservado a deficientes, junto à ciclovia.",Lugar estacionamento automóvel,HOTSPOT,999999,2,CONCLUÍDO,999999,5719,9222,,1970/01/01 00:00:00+00,,1d403865-7571-4485-98e2-2667d89c3f91
-9.14446217770077,38.7406024146344,164,AVENIDAS NOVAS,Av Barbosa de Bocage 27,"1º lugar de estacionamento longitudinal na placa central, após cruz. Av. Defensores de Chaves",Lugar estacionamento automóvel,HOTSPOT,146384,2,CONCLUÍDO,146384,5720,9222,,1970/01/01 00:00:00+00,,1601d9d7-2651-4ad2-912a-6db51f09fc6b
-9.14356604711943,38.7420551598695,165,AREEIRO,Campo Pequeno 51 (frente Hotel),"Último lugar de estacionamento longitudinal junto aos edifícios, antes cruz. com  Av. João XXI",Lugar estacionamento automóvel,HOTSPOT,83466,2,CONCLUÍDO,83466,5721,9222,,1970/01/01 00:00:00+00,,ab836a37-166c-4328-989b-39f3fad10719
-9.14084648383501,38.732342075042,166,ARROIOS,Praça da Ilha do Faial 18 (lado oposto da via),"1º lugar de estacionamento oblíquo, junto ao jardim, após cruz. Com R de D. Estefânia",Lugar estacionamento automóvel,HOTSPOT,85077,2,CONCLUÍDO,85077,5722,9222,,1970/01/01 00:00:00+00,,3b801437-14fc-4c9c-bce6-06e875bbd942
-9.14412172249632,38.7363435496188,167,AVENIDAS NOVAS,Av João Crisóstomo 12,"1º lugar de estacionamento longitudinal junto aos edifícios, antes do lugar reservado a Cargas & Descargas, antes do cruz. com Av. Defensores de Chaves",Lugar estacionamento automóvel,HOTSPOT,152013,2,CONCLUÍDO,152013,5723,9222,,1970/01/01 00:00:00+00,,69948421-edd4-4929-ac7c-edebd90c1b43
-9.14496587206375,38.7362752381702,168,AVENIDAS NOVAS,Av João Crisóstomo 22A,"1º lugar de estacionamento longitudinal junto aos edifícios, após vidrão e cruz. com Av. da República",Lugar estacionamento automóvel,HOTSPOT,152001,2,CONCLUÍDO,152001,5724,9222,,1970/01/01 00:00:00+00,,47208f5b-8c1a-4f04-acba-72f2f4e11776
-9.14843044324757,38.7324046482677,169,AVENIDAS NOVAS,R Latino Coelho 31,"Último lugar de estacionamento longitudinal junto aos edifícios, antes do cruz. com R. Pedro Nunes",Lugar estacionamento automóvel,HOTSPOT,98752,2,CONCLUÍDO,98752,5725,9222,,1970/01/01 00:00:00+00,,078196e3-bbdb-4527-a04b-9382c4c4f046
-9.14748892438815,38.7333531212893,170,AVENIDAS NOVAS,R Pedro Nunes 26,"1º lugar de estacionamento longitudinal junto aos edifícios, após o cruz. com a R. Pinheiro Chagas",Lugar estacionamento automóvel,HOTSPOT,101371,2,CONCLUÍDO,101371,5726,9222,,1970/01/01 00:00:00+00,,0d577ca1-8d2f-4226-ad51-208a4203a614
-9.14814394624894,38.7344522244213,171,AVENIDAS NOVAS,R Filipe Folque 40,"1º lugar de estacionamento longitudinal na placa central, a seguir ao cruz.com a R. António Enes",Lugar estacionamento automóvel,HOTSPOT,95421,2,CONCLUÍDO,95421,5727,9222,,1970/01/01 00:00:00+00,,1e358281-6482-4ffb-9dc6-a2e639fb3ca1
-9.15164517588288,38.7318334649583,172,AVENIDAS NOVAS,Av António Augusto de Aguiar 100,"Ultímo lugar de estacionamento longitudinal junto aos edifícios, antes da passadeira/semáforo",Lugar estacionamento automóvel,HOTSPOT,115294,2,CONCLUÍDO,115294,5728,9222,,1970/01/01 00:00:00+00,,f12ee686-4f45-4b78-b456-790329435273
-9.14592944635998,38.7326072817395,173,AVENIDAS NOVAS,R Pinheiro Chagas 2,"1º lugar de estacionamento longitudinal na placa central, a seguir ao quiosque, após o cruz. com a Av. Fontes Pereira de Melo",Lugar estacionamento automóvel,HOTSPOT,138910,2,CONCLUÍDO,138910,5729,9222,,1970/01/01 00:00:00+00,,528e7e55-1b7b-4a3c-b7f3-f2f9c57a5ff9
-9.15111076452708,38.7356611784618,174,AVENIDAS NOVAS,Av João Crisóstomo 75A,"Estacionamento longitudinal junto ao edifício, entre o poste a árvore ",Lugar estacionamento automóvel,HOTSPOT,78185,2,CONCLUÍDO,78185,5730,9222,,1970/01/01 00:00:00+00,,676abfb4-ba08-4f04-b771-9dc48f4cb20e
-9.14339608407103,38.7364287510461,175,AVENIDAS NOVAS,Av João Crisóstomo (traseiras da Casa da Moeda),"1º lugar de estacionamento oblíquo, junto ao edifício Casa da Moeda, após cruz. com a Av Defensores Chaves",Lugar estacionamento automóvel,HOTSPOT,7922,2,CONCLUÍDO,7922,5731,9222,,1970/01/01 00:00:00+00,,799ef99c-db26-4292-aea6-99715e66353c
-9.14675225195628,38.7333023053107,176,AVENIDAS NOVAS,Av 5 de Outubro 12E/F,Último lugar de estacionamento longitudinal antes do cruz. com Av. Praia da Vitória.,Lugar estacionamento automóvel,HOTSPOT,74338,2,CONCLUÍDO,74338,5732,9222,,1970/01/01 00:00:00+00,,8963faf6-aba9-4c6d-a6d4-d83e35cdf06b
-9.1456570457248,38.7300034548017,177,ARROIOS,R Sousa Martins 21,"Lugar de estacionamento longitudinal junto à farmácia, antes da entrada/saída de garagem ",Lugar estacionamento automóvel,HOTSPOT,105044,2,CONCLUÍDO,105044,5733,9222,,1970/01/01 00:00:00+00,,410b44ae-22cd-4803-b4be-780a58755700
-9.14502536658669,38.7302209024876,178,ARROIOS,Praça José Fontana 26B,"1º lugar de estacionamento longitudinal junto aos edifícios,a seguir ao estacionamento de motociclos existente",Lugar estacionamento automóvel,HOTSPOT,85278,2,CONCLUÍDO,85278,5734,9222,,1970/01/01 00:00:00+00,,422eef9d-15d9-4059-9a9c-7b13b9bcd814
-9.14405624699017,38.7283980692019,179,ARROIOS,R Gonçalves Crespo 49,"lugar de estacionamento longitudinal junto aos edifícios, antes do lugar de motociclos existente",Lugar estacionamento automóvel,HOTSPOT,96468,2,CONCLUÍDO,96468,5735,9222,,1970/01/01 00:00:00+00,,2af4670b-6622-46ef-af43-137ed23eae36
-9.14474959547256,38.7281240518788,180,ARROIOS,R Ferreira Lapas 52,"1º lugar de estacionamento longitudinal junto aos edifícios, após cruz. com  Av. Duque de Loulé",Lugar estacionamento automóvel,HOTSPOT,113460,2,CONCLUÍDO,113460,5736,9222,,1970/01/01 00:00:00+00,,4473779a-a424-46e5-85c4-2ded71ac2f42
-9.14957070358378,38.7302661508926,181,AVENIDAS NOVAS,R São sebastião da Pedreira 51,"Lugar de estacionamento longitudinal junto aos edifícios, antes do lugar de estacionamento de motociclos existente",Lugar estacionamento automóvel,HOTSPOT,105828,2,CONCLUÍDO,105828,5737,9222,,1970/01/01 00:00:00+00,,2da9a809-4566-4673-a914-0b0cbcfeccde
-9.14535310074841,38.7276393847873,182,SANTO ANTÓNIO,R Bernardo Lima 66,"Último lugar de estacionamento longitudinal junto aos edifícios, antes passadeira e do cruz. com a Av. Duque de Loulé",Lugar estacionamento automóvel,HOTSPOT,90016,2,CONCLUÍDO,90016,5738,9222,,1970/01/01 00:00:00+00,,53d66c1a-888f-4306-811a-602d022948e5
-9.14786095537488,38.7264278778777,183,SANTO ANTÓNIO,R Eça de Queiroz 11,"Último lugar de estacionamento longitudinal junto aos edifícios, antes do lugar de estacionamento de motociclos",Lugar estacionamento automóvel,HOTSPOT,94565,2,CONCLUÍDO,94565,5739,9222,,1970/01/01 00:00:00+00,,9fc160e7-898c-4f75-bec4-e2474ae1daba
-9.14775408460215,38.7275579018455,184,SANTO ANTÓNIO,Largo Andaluz 16 (lado oposto da via),"1º lugar de estacionamento longitudinal junto ao jardim, após ecoponto",Lugar estacionamento automóvel,HOTSPOT,109441,2,CONCLUÍDO,109441,5740,9222,,1970/01/01 00:00:00+00,,322cbcb4-20a8-40d5-ac9a-8237821de273
-9.14804802683783,38.7255769682849,185,SANTO ANTÓNIO,R Camilo Castelo Branco 28,"Lugar de estacionamento longitudinal junto aos edifícios, antes de entrada/saída de garagem e depois do cruz. Av. Duque de Loulé",Lugar estacionamento automóvel,HOTSPOT,90782,2,CONCLUÍDO,90782,5741,9222,,1970/01/01 00:00:00+00,,4a071702-c752-4687-b59a-3d06c2a8f4c9
-9.15307876490544,38.7528562257195,186,ALVALADE,"R Dr João Soares, 15",Próximo Colégio Moderno,Lugar estacionamento automóvel,HOTSPOT,218,2,CONCLUÍDO,218,5584,9222,,1970/01/01 00:00:00+00,,4cee3e06-9d3d-49c6-a067-bf9cbf24aa08
-9.15302774059731,38.7528770097562,187,ALVALADE,"R Dr João Soares, 15
",Próximo Colégio Moderno,Lugar estacionamento automóvel,HOTSPOT,217,2,CONCLUÍDO,217,5585,9222,,1970/01/01 00:00:00+00,,88bc1f7b-51ff-4433-8ac2-0780b37545ab
-9.13613929557657,38.7579418726986,188,ALVALADE,Rua Marquês do Soveral em frente à escola Pde António Vieira ,por trás da doca Gira,Via,HOTSPOT,816,2,CONCLUÍDO,816,5586,9222,,1970/01/01 00:00:00+00,,43f91697-54bd-44a6-bd83-6272fc31fc4b
-9.13823580534621,38.7590286119392,189,ALVALADE,Av do Brasil em frente ao 186 ,<Null>,Passeio,HOTSPOT,819,2,CONCLUÍDO,819,5587,9222,,1970/01/01 00:00:00+00,,8069daa3-f7ec-45d4-be1c-4140c7e21a81
-9.1406472851157,38.7584482275657,190,ALVALADE,Av do Brasil perto da entrada do LNEC,entre caldeira de árvore e poste de iluminação,Passeio,HOTSPOT,820,2,CONCLUÍDO,820,5588,9222,,1970/01/01 00:00:00+00,,4bc16fed-7bd3-45d4-a5b0-a0ea1d9b253e
-9.14552163817045,38.7557826808267,191,ALVALADE,Av Roma em frente ao 129 do outro lado da via na ilha entre árvores,<Null>,Passeio,HOTSPOT,824,2,CONCLUÍDO,824,5589,9222,,1970/01/01 00:00:00+00,,725f5ce2-9535-4dc5-b46b-b00acdcc88e5
-9.14477733814349,38.7543516310949,192,ALVALADE,Av Roma no cruzamento com R Violante do Céu,<Null>,Passeio,HOTSPOT,825,2,CONCLUÍDO,825,5590,9222,,1970/01/01 00:00:00+00,,49398650-c618-4f84-8478-7b0e47913ed8
-9.14600739048223,38.7566852796789,193,ALVALADE,Av Brasil em frente ao 53 ,entre caldeiras,Passeio,HOTSPOT,826,2,CONCLUÍDO,826,5591,9222,,1970/01/01 00:00:00+00,,aeb81dd1-6546-4a23-90c2-3483c132ce6e
-9.17323655024931,38.7418119687386,194,SÃO DOMINGOS DE BENFICA,"Rua Raúl Carapinha frente ao nº 10, ao lado do ecoponto ",<Null>,Via,HOTSPOT,601,2,CONCLUÍDO,601,5592,9222,,1970/01/01 00:00:00+00,,e490850e-e08d-4cad-8be7-e31eb13361b7
-9.19646843517415,38.7619076229399,195,CARNIDE,Na frente da estação Metro da Pontinha,<Null>,Passeio,HOTSPOT,617,4,CONCLUÍDO,617,5593,9222,,1970/01/01 00:00:00+00,,6287c72c-ff3d-4cd2-8c3d-f989fad0bf96
-9.17910303953476,38.6992968927981,196,ALCÂNTARA,"Doca de Santo Amaro, canto Poente",<Null>,Passeio,HOTSPOT,25,2,CONCLUÍDO,25,5594,9222,,1970/01/01 00:00:00+00,,bf92d177-76b3-4429-b030-deb07e4a8b2b
-9.15360236863006,38.7077403263801,197,ESTRELA,Largo Vitorino Damásio em frente ao 4 do outro lado da via,atrás entrada parque,Passeio,HOTSPOT,40,2,CONCLUÍDO,40,5595,9222,,1970/01/01 00:00:00+00,,816e2da6-f76d-4a48-97bc-610ab988bd5a
-9.175365723661,38.7002004333853,198,ALCÂNTARA,"Doca de Santo Amaro, entre estacionamento e caminho de ferro do lado da rotunda",Entre caldeira de árvores,Passeio,HOTSPOT,26,4,CONCLUÍDO,26,5596,9222,,1970/01/01 00:00:00+00,,8d1f729b-cb15-4671-8707-270909bfd580
-9.18782068271734,38.6968206218698,199,BELÉM,Av. de Brasília,atrás doca GIRA perto do Café IN,Passeio,HOTSPOT,24,2,CONCLUÍDO,24,5597,9222,,1970/01/01 00:00:00+00,,dcc9a0c1-6132-4cf2-8189-df3e85667ae0
-9.20154935403185,38.6969638747458,200,BELÉM,Praça Afonso de Albuquerque em frente ao 1b,Entre caldeiras de árvores,Passeio,HOTSPOT,17,2,CONCLUÍDO,17,5598,9222,,1970/01/01 00:00:00+00,,3088ff41-d79c-4b15-ba1c-fe5bc5b8dcad
-9.20724600782966,38.6956903776401,201,BELÉM,Praça do Império,frente CCB após passadeira,Passeio,HOTSPOT,13,2,CONCLUÍDO,13,5599,9222,,1970/01/01 00:00:00+00,,7d12ad23-9f9c-48a7-87cf-ac915d5d34fe
-9.22533586150802,38.6981501461673,202,BELÉM,Rua Damião de Góis em frente ao 5c do outro lado da via,"Raia do pq estacionamento, a 1,4m do limite do estacionamento para deficientes",Via,HOTSPOT,2,4,CONCLUÍDO,2,5600,9222,,1970/01/01 00:00:00+00,,7eeabd31-b94e-47a5-bcd1-f6d008573799
-9.20637738635726,38.6935032964883,203,BELÉM,Av. de Brasília,ao lado da doca GIRA do Padrão dos Descobrimentos,Via,HOTSPOT,10,4,CONCLUÍDO,10,5601,9222,,1970/01/01 00:00:00+00,,88a1f9fb-a489-4b16-b204-a050638afef8
-9.14130675273883,38.7486609146569,204,ALVALADE,Av. Roma em frente ao 58,<Null>,Passeio,HOTSPOT,213,2,CONCLUÍDO,213,5602,9222,,1970/01/01 00:00:00+00,,03e2d0c1-a73c-4f79-9ecc-f7b74e25ea38
-9.14382272094892,38.7535321878902,205,ALVALADE,Praça de Alvalade em frente ao 12,Perto DGESTE,Passeio,HOTSPOT,214,2,CONCLUÍDO,214,5603,9222,,1970/01/01 00:00:00+00,,0a136e4d-2c8f-480e-9948-3a3d459bed59
-9.14389011256154,38.7066166423054,206,MISERICÓRDIA,"Pç Duque da Terceira, em frente ao número 1 entre caldeiras",<Null>,Passeio,HOTSPOT,53,2,CONCLUÍDO,53,5604,9222,,1970/01/01 00:00:00+00,,65ff5d30-5546-4681-97a4-ef4d383f33af
-9.13140647838305,38.7488574607908,207,ALVALADE,Rua Francisco Lourenço da Fonseca em frente ao 2,entre árvore de MUPI,Passeio,HOTSPOT,119,2,CONCLUÍDO,119,5605,9222,,1970/01/01 00:00:00+00,,d7b7b41d-90d3-4b23-9ab3-9ccbe1824cf2
-9.14347649676371,38.7053090729403,208,MISERICÓRDIA,"Cais do Sodré, entre as caldeiras em frente doca GIRA ",<Null>,Passeio,HOTSPOT,55,2,CONCLUÍDO,55,5606,9222,,1970/01/01 00:00:00+00,,f0ca7291-2716-4f21-aae3-319a6a13ec95
-9.14365608615867,38.7053050806283,209,MISERICÓRDIA,"Cais do Sodré, entre as caldeiras em frente doca GIRA ",<Null>,Passeio,HOTSPOT,54,2,CONCLUÍDO,54,5607,9222,,1970/01/01 00:00:00+00,,5439c490-aa9f-45f7-aa1c-32a3afcf8dd7
-9.13072302484352,38.7544708179742,210,ALVALADE,"Av Dom Rodrigo da Cunha, na esquina com Av Almirante Gago Coutinho",Entre sinal e poste iluminação perpendicular ao lancil do estacionamento,Passeio,HOTSPOT,120,2,CONCLUÍDO,120,5609,9222,,1970/01/01 00:00:00+00,,6d707d90-de77-4b30-960d-42992b4f55e4
-9.15356094102408,38.7547843046608,211,ALVALADE,Na esquina do Horto Campo Grande com Alameda da Cidade Universitária ,Entre caldeira de árvore e fim passeio,Passeio,HOTSPOT,193,2,CONCLUÍDO,193,5610,9222,,1970/01/01 00:00:00+00,,305bff83-909e-4a85-b6fb-08b4c9945640
-9.15024691131221,38.7502609996243,212,ALVALADE,Campo grande em frente ao 37,Passeio entre arvores depois GIRA,Passeio,HOTSPOT,190,2,CONCLUÍDO,190,5611,9222,,1970/01/01 00:00:00+00,,941a1e5d-6899-43e2-a1bd-8a91798681b1
-9.14826246817088,38.7479056521229,213,AVENIDAS NOVAS,"Rotunda de Entrecampos, debaixo Outdoor",<Null>,Passeio,HOTSPOT,184,1,CONCLUÍDO,184,5612,9222,,1970/01/01 00:00:00+00,,3e1a01e9-d020-4078-b09d-0216dc679a38
-9.14787949390738,38.745153485934,214,AVENIDAS NOVAS,Av República em frente ao 70 do lado oposto da via,Na bolsa de motas,Lugar estacionamento motociclo,HOTSPOT,183,2,CONCLUÍDO,183,5613,9222,,1970/01/01 00:00:00+00,,e3176506-9aa7-4b65-8427-2f9120b3a59b
-9.147515874745,38.7432117805961,215,AVENIDAS NOVAS,"Av. Ant Serpa, em frente do Hotel 3k Lisboa, do outro lado da via",na ilha,Passeio,HOTSPOT,182,2,CONCLUÍDO,182,5614,9222,,1970/01/01 00:00:00+00,,6fe6819a-3837-4ab3-916c-bf920561029c
-9.14712193923841,38.7411578615674,216,AVENIDAS NOVAS,Av. Berna em frente ao 1,no seguimento da paragem autocarro,Passeio,HOTSPOT,180,4,CONCLUÍDO,180,5615,9222,,1970/01/01 00:00:00+00,,864cb7b0-a8e3-46e5-8c30-945763dd5a55
-9.14548169907293,38.7355702210752,217,AVENIDAS NOVAS,"Av. República em frente ao 17, no triangulo entre ciclovia e estrada",<Null>,Passeio,HOTSPOT,178,2,CONCLUÍDO,178,5616,9222,,1970/01/01 00:00:00+00,,48061023-32db-4b92-bb9e-1ba667508b8e
-9.14534918139884,38.735030188768,218,AVENIDAS NOVAS,"Av. República em frente ao 11, no triangulo entre ciclovia e estrada",Triangulo entre ciclovia e estrada,Passeio,HOTSPOT,177,2,CONCLUÍDO,177,5617,9222,,1970/01/01 00:00:00+00,,b135831c-c4bd-4072-995c-b43c05754b81
-9.14656388871593,38.7313638894807,219,AVENIDAS NOVAS,Av Fontes Pereira de Melo em frente ao 35,Entre árvores ,Passeio,HOTSPOT,169,2,CONCLUÍDO,169,5618,9222,,1970/01/01 00:00:00+00,,574679b1-6989-41ca-8938-eb02f3e78845
-9.14940122652397,38.7258420326011,220,SANTO ANTÓNIO,"Pç Mq Pombal, em frente ao 12, do outro lado da via",ao lado do canteiro,Passeio,HOTSPOT,162,4,CONCLUÍDO,162,5619,9222,,1970/01/01 00:00:00+00,,07fdcafa-b9db-4f53-bbee-b112c442a5b6
-9.14922342747136,38.7252236901682,221,SANTO ANTÓNIO,"Pç Mq Pombal, em frente à Av Duque de Loulé","Triangulo entre ciclovia, canteiro e passeio",Passeio,HOTSPOT,161,2,CONCLUÍDO,161,5620,9222,,1970/01/01 00:00:00+00,,3835d318-8135-4e8f-b0ff-57d2f4d4507e
-9.13525069826719,38.7264841097226,222,ARROIOS,"Rua Febo Moniz, em frente ao Banco de Portugal",<Null>,Passeio,HOTSPOT,105,6,CONCLUÍDO,105,5621,9222,,1970/01/01 00:00:00+00,,30170d22-5a6e-4037-af50-0bda7870fecb
-9.15048296161941,38.7262505452318,223,AVENIDAS NOVAS,Parque Eduardo VII / entrada estacionamento,ao lado estacionamento bicicletas existente,Passeio,HOTSPOT,163,4,CONCLUÍDO,163,5622,9222,,1970/01/01 00:00:00+00,,d91167f5-6c54-4613-b0ea-9d9f000fba8c
-9.14742777786342,38.7291194440784,224,ARROIOS,Rua Martens Ferrão / Av. Fontes Pereira de Melo,<Null>,Passeio,HOTSPOT,166,2,CONCLUÍDO,166,5623,9222,,1970/01/01 00:00:00+00,,61578a2a-5d2e-4367-bfd4-acd98b2d5644
-9.14278288507493,38.7353456009253,225,AVENIDAS NOVAS,"Av Duque D'Ávila, jardim Arco do Cego / traseiras Metro",<Null>,Passeio,HOTSPOT,195,2,CONCLUÍDO,195,5624,9222,,1970/01/01 00:00:00+00,,f55f9809-c173-4618-9455-8ef4cdacb95e
-9.13803926833507,38.7422465799554,226,AREEIRO,Av. Roma em frente ao 6d, perto respirador Metro,Passeio,HOTSPOT,205,2,CONCLUÍDO,205,5625,9222,,1970/01/01 00:00:00+00,,a991e6d3-57c6-4ba7-85dd-a510d38815e7
-9.15058050698117,38.7082198773009,227,MISERICÓRDIA,Rua do Instituto Industrial em frente ao 7,na zona pedonal. Entre segundo e terceiro canteiros a contar de Norte,Passeio,HOTSPOT,42,2,CONCLUÍDO,42,5626,9222,,1970/01/01 00:00:00+00,,85290b75-de6b-49a6-b83a-0cab5356d6a4
-9.15057051232533,38.7079787980426,228,MISERICÓRDIA,Rua do Instituto Industrial em frente ao 7,na zona pedonal invadida por motos. Entre canteiros Sul,Passeio,HOTSPOT,43,2,CONCLUÍDO,43,5627,9222,,1970/01/01 00:00:00+00,,b326bdd3-2239-4a3e-98a4-7a9163804e4b
-9.15265587849387,38.7211564010713,229,SANTO ANTÓNIO,"Rua Alexandre Herculano, em frente ao 54",entre passadeira e poste,Passeio,HOTSPOT,66,2,CONCLUÍDO,66,5608,9222,,1970/01/01 00:00:00+00,,9c461e0c-1229-4fd4-971d-5388e205b2ee
-9.14819624885971,38.7479164077748,230,AVENIDAS NOVAS,"Rotunda de Entrecampos, debaixo Outdoor",<Null>,Passeio,HOTSPOT,185,1,CONCLUÍDO,185,5628,9222,,1970/01/01 00:00:00+00,,447fbd2a-e1f8-4f1b-b841-7e72ac23d7f3
-9.13612048395619,38.7343593896258,231,ARROIOS,R Joaquim Costa 1,Primeiro lugar de estacionamento tarifado após a passadeira,Lugar estacionamento automóvel,HOTSPOT,97786,2,CONCLUÍDO,97786,5814,9222,,1970/01/01 00:00:00+00,,6dd7afc1-43de-45b0-993e-12064f4d0459
-9.13686893779306,38.7343723826644,232,ARROIOS,R Carlos José Barreiros na esquina com o Largo do Leão e R António Pereira Carrilho,Primeiro lugar de estacionamento tarifado após a passadeira do lado esquerdo da via,Lugar estacionamento automóvel,HOTSPOT,177129,4,CONCLUÍDO,177129,5815,9222,,1970/01/01 00:00:00+00,,07e76429-012a-49a4-accb-2f90e50845da
-9.13749051357915,38.7274997548505,233,ARROIOS,R José Estevão 2c,Ultimo lugar de estacionamento tarifado do lado esquerdo da via,Lugar estacionamento automóvel,HOTSPOT,98200,2,CONCLUÍDO,98200,5816,9222,,1970/01/01 00:00:00+00,,a57bbb9c-988a-41b1-8ac0-81ef88d37c9c
-9.14055701610778,38.7225968192694,234,ARROIOS,"Campo Mártires da Pátria, 57","Ultímo lugar de estacionamento, antes da raia que antecede o semáforo",Lugar estacionamento automóvel,HOTSPOT,138768,2,CONCLUÍDO,138768,5817,9222,,1970/01/01 00:00:00+00,,29c22875-025f-4f84-8cdf-4ebbb54d473e
-9.11003616323836,38.7678363438043,235,OLIVAIS,"Pç Baden Powell, na ilha central ",evitando percurso feito por peões,Passeio,HOTSPOT,125,2,CONCLUÍDO,125,5818,9222,,1970/01/01 00:00:00+00,,acb47503-fa09-443e-a2f1-448e0d680712
-9.17486693589614,38.7014200025948,236,ESTRELA,"Doca de Sto Amaro, ao lado Doca GIRA ","Do outro lado da via em relação à Guarda Fiscal, ao lado do parque de estacionamento ",Passeio,HOTSPOT,6,2,CONCLUÍDO,6,5819,9222,,1970/01/01 00:00:00+00,,a88767d6-24af-4389-84a6-3940524aae8c
-9.10881187988034,38.7678464310664,237,OLIVAIS,"Av de Berlim, 35D",Alinhado entre caldeiras,Passeio,HOTSPOT,935,2,CONCLUÍDO,935,5820,9222,,1970/01/01 00:00:00+00,,80539452-455e-416c-b64d-85a8cd20e683
-9.10855480001232,38.7705280008552,238,OLIVAIS,"Rua Contra-Almirante Armando Ferraz, escola","Entrada da escola António Damásio, no alinhamento dos estacionamentos existentes  (existem pilaretes entre o estacionamento e passeio)",Passeio,HOTSPOT,950,2,CONCLUÍDO,950,5821,9222,,1970/01/01 00:00:00+00,,2bd35abf-0a65-4969-b41e-9a96e59bc093
-9.10640252821973,38.7689028442907,239,OLIVAIS,"Praça Viscondessa dos Olivais, lado oposto 38",Localizado no tardoz do banco de jardim existente,Passeio,HOTSPOT,952,2,CONCLUÍDO,952,5822,9222,,1970/01/01 00:00:00+00,,f4bce230-0f63-4006-b360-276c9e79ef02
-9.10729184507966,38.7666898872743,240,OLIVAIS,"Largo Jaime Carvalho, 15A ( Snack bar cervejaria)",perto banco,Passeio,HOTSPOT,972,2,CONCLUÍDO,972,5823,9222,,1970/01/01 00:00:00+00,,43744415-f0d1-4997-bc07-0efe03d0b7c3
-9.15692442209404,38.7059954178025,241,ESTRELA,"Av. 24 de Julho, 62",Último lugar de estacionamento antes do eco-ponto,Lugar estacionamento automóvel,HOTSPOT,1720,4,CONCLUÍDO,1720,5824,9222,,1970/01/01 00:00:00+00,,80311caf-3b7b-4ae0-8ea5-675aa7f1ca8a
-9.15961314711306,38.7047595254237,242,ESTRELA,"Av. 24 de Julho, 86 ",Último lugar de estacionamento antes da zebra,Lugar estacionamento automóvel,HOTSPOT,1722,4,CONCLUÍDO,1722,5825,9222,,1970/01/01 00:00:00+00,,b72500b8-dd98-47a3-8acd-d4133f59d206
-9.1602882912362,38.7045336741497,243,ESTRELA,"Av 24 de Julho, 96J","no estacionamento, depois dos eco-pontos de RU",Lugar estacionamento automóvel,HOTSPOT,1723,2,CONCLUÍDO,1723,5826,9222,,1970/01/01 00:00:00+00,,963cbeb1-63f0-427e-80a6-3410b1e921c4
-9.16026378070367,38.7045424699489,244,ESTRELA,"Av 24 de Julho, 96J","no estacionamento, depois dos eco-pontos de RU",Lugar estacionamento automóvel,HOTSPOT,1724,2,CONCLUÍDO,1724,5827,9222,,1970/01/01 00:00:00+00,,ebc1ea5b-e2ba-48c9-8cdc-d64f38bfd067
-9.16786719403201,38.7040234170961,245,ESTRELA,"Av Infante Santo, Estação Elevatória",,Passeio,HOTSPOT,1729,2,CONCLUÍDO,1729,5828,9222,,1970/01/01 00:00:00+00,,d7ed09c1-b78b-432b-bec7-803a0b5ff81a
-9.16791762006217,38.7041927935077,246,ESTRELA,"Av Infante Santo, 2H","Recanto escadas, atrás da paragem do autocarro",Passeio,HOTSPOT,1730,2,CONCLUÍDO,1730,5829,9222,,1970/01/01 00:00:00+00,,62d7352c-3b1a-4cf2-88bb-0d5c412865d6
-9.16697063405595,38.703721912631,247,ESTRELA,"Av 24 de Julho, 140C",Lugar de estacionamento,Lugar estacionamento automóvel,HOTSPOT,1728,4,CONCLUÍDO,1728,5830,9222,,1970/01/01 00:00:00+00,,771e2216-d321-4992-a10e-c5595d234d09
-9.13826403670066,38.7316883905911,248,ARROIOS,R Rebelo da Silva 11,"Último lugar tarifado, em frente a Farmácia",Lugar estacionamento automóvel,HOTSPOT,103433,2,CONCLUÍDO,103433,5831,9222,,1970/01/01 00:00:00+00,,6ba63792-f2bb-4425-804a-157984957832
-9.13525816955542,38.7314228097776,249,ARROIOS,"R António Pedro, 38",Primeiro lugar de estacionamento tarifado após a passadeira,Lugar estacionamento automóvel,HOTSPOT,150320,2,CONCLUÍDO,150320,5832,9222,,1970/01/01 00:00:00+00,,caacd6c9-7bac-47ab-9224-bc428626d23b
-9.13686386859991,38.7304052610543,250,ARROIOS,R Passos Manuel 108a,Lugar tarifado antes do lugar de estacionamento para motociclos,Lugar estacionamento automóvel,HOTSPOT,101241,4,CONCLUÍDO,101241,5833,9222,,1970/01/01 00:00:00+00,,0c66a036-8227-4719-b589-a24e3f6a419d
-9.13677686047644,38.7271609592925,251,ARROIOS,R Passos Manuel 2a/2c,Lugar tarifado após lugar de estacionamento para motociclos,Lugar estacionamento automóvel,HOTSPOT,101109,2,CONCLUÍDO,101109,5834,9222,,1970/01/01 00:00:00+00,,d10a2f86-f539-4f35-bd76-a45dd816691a
