X,Y,OBJECTID,FREGUESIA,MORADA,MORADA_DETALHE,LOCALIZACAO,TIPO_ESTACIONAMENTO,COD_SIG_PROPOSTA,NUM_SUPORTES,ESTADO,COD_SIG_HS,COD_SIG,IDTIPO,SE_ANNO_CAD_DATA,DATA_INSTALACAO,COBERTO,GlobalID
-9.14535476891992,38.7435827093935,106,AVENIDAS NOVAS,Campo Pequeno 16 e 17,"Lugar de estacionamento longitudinal junto aos edifícios, entre entrada/saída de garagem e lugar para motociclos existente (lugar Isolado)",Lugar estacionamento automóvel,HOTSPOT,146358,2,CONCLUÍDO,146358,5662,9222,,1970/01/01 00:00:00+00,,aa8576dc-5e4d-4f23-9907-ca6c3ff3092b
-9.14662257385681,38.7465897329679,107,ALVALADE,R Entrecampos esquina 44 B,1º lugar de estacionamento longitudinal junto aos edifícios (mercearia) após a passadeira ,Lugar estacionamento automóvel,HOTSPOT,95336,2,CONCLUÍDO,95336,5663,9222,,1970/01/01 00:00:00+00,,73d91044-b020-4bba-82a9-aea613e7ab64
-9.14893984550584,38.7421733338068,108,AVENIDAS NOVAS,Av 5 de Outubro em frente 186,"1º Lugar de estacionamento longitudinal na placa central, após cruz. com Av. Júlio Dinis",Lugar estacionamento automóvel,HOTSPOT,74416,2,CONCLUÍDO,74416,5664,9222,,1970/01/01 00:00:00+00,,168e27f2-c30e-4521-9945-83ab0c6c6a5f
-9.15011688825967,38.7408771555314,109,AVENIDAS NOVAS,R Laura Alves 12C  12B,"Lugar de estacionamento longitudinal junto aos edifícios, após lugar para motociclos existente (lugar isolado)",Lugar estacionamento automóvel,HOTSPOT,124360,2,CONCLUÍDO,124360,5665,9222,,1970/01/01 00:00:00+00,,fc5a4753-c2f5-4034-9dbd-51caca2512b2
-9.15267492726948,38.7389489889694,110,AVENIDAS NOVAS,R Marques Sá Bandeira 124,"1º lugar de estacionamento longitudinal junto aos edifícios, após passadeira (junto cruz. com Av. Berna)",Lugar estacionamento automóvel,HOTSPOT,100022,2,CONCLUÍDO,100022,5666,9222,,1970/01/01 00:00:00+00,,ad3e1d2f-568f-42f1-9187-bc89533e300d
-9.14984216997107,38.7397183458937,111,AVENIDAS NOVAS,Av Barbosa de Bocage 117 (Entrada do Continente),"1º lugar de estacionamento longitudinal junto aos edifícios, após cruz. com  Av. Marquês de Tomar",Lugar estacionamento automóvel,HOTSPOT,80607,2,CONCLUÍDO,80607,5667,9222,,1970/01/01 00:00:00+00,,16a6e7d6-dd29-4d72-8bb2-14a3e84e17fd
-9.14876076006572,38.7399663998712,112,AVENIDAS NOVAS,Av Barbosa de Bocage antes do 120,"1º lugar de estacionamento longitudinal na placa central, após do cruz. com Av. 5 de Outubro",Lugar estacionamento automóvel,HOTSPOT,135773,2,CONCLUÍDO,135773,5668,9222,,1970/01/01 00:00:00+00,,538c24b4-0942-486a-abf0-6448edabc8c3
-9.14747778168538,38.7400842423403,113,AVENIDAS NOVAS,Av Barbosa de Bocage 67,"1º lugar de estacionamento longitudinal junto aos edifícios, após a  entrada/saída de garagem ",Lugar estacionamento automóvel,HOTSPOT,80793,2,CONCLUÍDO,80793,5669,9222,,1970/01/01 00:00:00+00,,d387a25b-9124-4860-b62e-5fde499022b4
-9.14781341922497,38.7391294368879,114,AVENIDAS NOVAS,Av Elias Garcia 84,"Último lugar de estacionamento longitudinal junto aos edifícios, antes da estação Gira",Lugar estacionamento automóvel,HOTSPOT,76513,2,CONCLUÍDO,76513,5670,9222,,1970/01/01 00:00:00+00,,72358d9d-721f-422b-a68e-92486d5b7a7a
-9.14849489736918,38.7390241351927,115,AVENIDAS NOVAS,Av Elias Garcia 90,"1º lugar de estacionamento longitudinal junto aos edifícios, após cruz. com Av. 5 de Outubro",Lugar estacionamento automóvel,HOTSPOT,76386,2,CONCLUÍDO,76386,5671,9222,,1970/01/01 00:00:00+00,,6b3c6ae6-0533-4e5c-9f77-b4d094dae62d
-9.14817491297342,38.7393269166491,116,AVENIDAS NOVAS,Av 5 de Outubro 130,Lugar de estacionamento localizado entre a entrada/saída da garagem e o estacionamento reservado a deficientes (em frente a café),Lugar estacionamento automóvel,HOTSPOT,74493,2,CONCLUÍDO,74493,5672,9222,,1970/01/01 00:00:00+00,,22f8d129-0059-4958-8bef-bceff13a446e
-9.15085037885885,38.7368627566764,117,AVENIDAS NOVAS,Av Conde de Valbom 61,2º Lugar de estacionamento após entrada/saída de garagem do INR,Lugar estacionamento automóvel,HOTSPOT,75085,2,CONCLUÍDO,75085,5673,9222,,1970/01/01 00:00:00+00,,c6751abe-42ed-4d11-be91-e544671578f3
-9.14938113929588,38.7368961721774,118,AVENIDAS NOVAS,"Av Marquês de Tomar, 56","1º lugar de estacionamento longitudinal após passadeira e junto aos edifícios, após cruz. com Av. Miguel Bombarda",Lugar estacionamento automóvel,HOTSPOT,79018,2,CONCLUÍDO,79018,5674,9222,,1970/01/01 00:00:00+00,,c9d50b6e-ec68-442e-9238-df7101bba04b
-9.14698987790848,38.7370775509191,119,AVENIDAS NOVAS,"Av Miguel Bombarda, 26","1º lugar de estacionamento oblíquo junto aos edifícios, após o lugar de motociclos existentes",Lugar estacionamento automóvel,HOTSPOT,151968,2,CONCLUÍDO,151968,5675,9222,,1970/01/01 00:00:00+00,,54fc07a9-0b8c-45af-93b6-a9dbbf3fee28
-9.14596253849842,38.7391127107432,120,AVENIDAS NOVAS,Av da República 44,"Último lugar de estacionamento oblíquo na placa central, antes da passadeira e cruz. com  Av. Elias Garcia",Lugar estacionamento automóvel,HOTSPOT,160651,2,CONCLUÍDO,160651,5676,9222,,1970/01/01 00:00:00+00,,dc8e84ea-6459-4c6b-80fe-afd497543df3
-9.14570263522546,38.7380425642673,121,AVENIDAS NOVAS,Av da República 36,"Último lugar de estacionamento oblíquo na placa central, antes da passadeira e cruz. com  Av. Visconde de Valmor",Lugar estacionamento automóvel,HOTSPOT,160631,2,CONCLUÍDO,160631,5677,9222,,1970/01/01 00:00:00+00,,bab70fa0-bc52-4515-b987-3f181778c896
