,X,Y,OBJECTID,COD_SIG,IDTIPO,MORADA,DESIGNACAO,TIPOLOGIA,SE_ANNO_CAD_DATA,GlobalID,_lat_,_lng_,_type_,_name_
71,-9.17776504742811,38.7342719770087,72,818,4,Caminho Pedreiras,Bebedouro 2 no Parque Recreativo do Alto da Serafina,Bebedouro,,341abe1a-b234-4a07-885c-e0c454bb1748,38.7342719770087,-9.17776504742811,BEBEDOURO,Bebedouro 2 no Parque Recreativo do Alto da Serafina - Caminho Pedreiras
72,-9.17792469152882,38.7339227984701,73,819,4,Caminho Pedreiras,Bebedouro 3 no Parque Recreativo do Alto da Serafina,Bebedouro,,a18ec8dc-40ab-4012-867a-8245f3c4982d,38.7339227984701,-9.17792469152882,BEBEDOURO,Bebedouro 3 no Parque Recreativo do Alto da Serafina - Caminho Pedreiras
73,-9.17617675503888,38.7336912273836,74,820,4,Caminho Pedreiras,Bebedouro 4 no Parque Recreativo do Alto da Serafina,Bebedouro,,85229aca-ffb1-4024-844e-aff2744ab380,38.7336912273836,-9.17617675503888,BEBEDOURO,Bebedouro 4 no Parque Recreativo do Alto da Serafina - Caminho Pedreiras
74,-9.14318155110984,38.7177715236478,75,4507,4,Avenida da Liberdade,Lago Nascente-Sul da Avenida da Liberdade,Lago,,9008c1c5-2c41-44bd-b1e9-a2f29bc77b1a,0.0,0.0,,
75,-9.15371521948763,38.7573464983809,76,918,4,Campo Grande,Bebedouro 5 no Jardim do Campo Grande,Bebedouro,,f7cda3b1-463a-4472-9d12-040d331b0c71,38.7573464983809,-9.15371521948763,BEBEDOURO,Bebedouro 5 no Jardim do Campo Grande - Campo Grande
76,-9.13962667768039,38.7229438370872,77,2407,4,Campo dos Mártires da Pátria,Bebedouro junto do Parque Infantil do Jardim Braancamp Freire,Bebedouro,,5394ea64-a94a-4fde-806c-e4159d3e015b,38.7229438370872,-9.13962667768039,BEBEDOURO,Bebedouro junto do Parque Infantil do Jardim Braancamp Freire - Campo dos Mártires da Pátria
77,-9.14008801737602,38.7221852047908,78,2408,4,Campo dos Mártires da Pátria,Bebedouro no Jardim Braancamp Freire,Bebedouro,,e22c7e42-cf4e-4fbc-b557-c5a9da569985,38.7221852047908,-9.14008801737602,BEBEDOURO,Bebedouro no Jardim Braancamp Freire - Campo dos Mártires da Pátria
78,-9.13490268463792,38.7246420624304,79,602,4,Avenida Almirante Reis,Bebedouro no Jardim António Feijó,Bebedouro,,3ab25062-66e4-4fff-a89f-188418456ba0,38.7246420624304,-9.13490268463792,BEBEDOURO,Bebedouro no Jardim António Feijó - Avenida Almirante Reis
79,-9.13132039911758,38.7369487850231,80,4407,4,Alameda Dom Afonso Henriques,Bebedouro na Alameda Dom Afonso Henriques,Bebedouro,,b1a200eb-f339-47d3-b360-d0528f7cb5ab,38.7369487850231,-9.13132039911758,BEBEDOURO,Bebedouro na Alameda Dom Afonso Henriques - Alameda Dom Afonso Henriques
80,-9.1439403032331,38.7179768241799,81,4508,4,Avenida da Liberdade,"Lago Poente-Norte (""O Douro"") da Avenida da Liberdade",Lago,,322f281e-55d0-4759-8a0e-a2519ddfed24,0.0,0.0,,
